"num","year","emp","wage","wage2","cap","n","w","w2","filler","rec","yearm1","id"
"1","1977","5.04099988937378","13.1515998840332","","0.589399993419647","1.61760449409485","2.57654333114624","2.06123466491699","","1","1977","1"
"2","1978","5.59999990463257","12.3017997741699","","0.6317999958992","1.72276663780212","2.50974559783936","2.00779647827149","","2","1977","1"
"3","1979","5.0149998664856","12.8395004272461","","0.677100002765656","1.61243343353271","2.55252647399902","2.04202117919922","","3","1978","1"
"4","1980","4.71500015258789","13.8038997650146","","0.61710000038147","1.55074894428253","2.62495112419128","2.09996089935302","","4","1979","1"
"5","1981","4.09299993515015","14.2896995544434","","0.507600009441376","1.40927815437317","2.65953898429871","2.12763118743897","","5","1980","1"
"6","1982","3.16599988937378","14.8681001663208","","0.42289999127388","1.15246891975403","2.69921803474426","2.15937442779541","","6","1981","1"
"7","1983","2.93600010871887","13.7784004211426","","0.391999989748001","1.07704818248749","2.62310218811035","2.09848175048828","","7","1982","1"
"8","1977","71.3190002441406","14.7909002304077","","16.93630027771","4.26716279983521","2.69401216506958","2.15520973205566","","8","1983","2"
"9","1978","70.6429977416992","14.1035995483398","","17.2422008514404","4.25763893127441","2.64643001556396","2.11714401245117","","9","1977","2"
"10","1979","70.9179992675781","14.9533996582031","","17.5412998199463","4.26152420043945","2.70493865013123","2.16395092010498","","10","1978","2"
"11","1980","72.0309982299805","15.4910001754761","","17.6574001312256","4.27709674835205","2.74025917053223","2.19220733642578","","11","1979","2"
"12","1981","73.6890029907227","16.1968994140625","","16.7133007049561","4.29985380172729","2.78481984138489","2.22785587310791","","12","1980","2"
"13","1982","72.4189987182617","16.1313991546631","","16.2469005584717","4.28246879577637","2.78076767921448","2.22461414337158","","13","1981","2"
"14","1983","68.5179977416992","16.3050994873047","","17.3696002960205","4.22709655761719","2.79147791862488","2.2331823348999","","14","1982","2"
"15","1977","19.1560001373291","22.6919994354248","","7.09749984741211","2.95261597633362","3.12201237678528","2.49760990142822","","15","1983","3"
"16","1978","19.4400005340576","20.6937999725342","","6.94689989089966","2.96733283996582","3.02983403205872","2.42386722564698","","16","1977","3"
"17","1979","19.8999996185303","21.2047996520996","","6.85650014877319","2.99071979522705","3.05422759056091","2.44338207244873","","17","1978","3"
"18","1980","20.2399997711182","22.19700050354","","6.65469980239868","3.00766086578369","3.09995722770691","2.47996578216553","","18","1979","3"
"19","1981","19.5699996948242","24.8714008331299","","6.21360015869141","2.9739978313446","3.21371865272522","2.57097492218018","","19","1980","3"
"20","1982","18.125","24.8446998596191","","5.71460008621216","2.897292137146","3.21264433860779","2.57011547088623","","20","1981","3"
"21","1983","16.8500003814697","28.9076995849609","","7.34310007095337","2.82435059547424","3.36410808563232","2.69128646850586","","21","1982","3"
"22","1977","26.1599998474121","14.8283004760742","","8.49020004272461","3.26423144340515","2.69653749465942","2.15722999572754","","22","1983","4"
"23","1978","26.7399997711182","14.8379001617432","","8.74199962615967","3.28616046905518","2.69718480110168","2.15774784088134","","23","1977","4"
"24","1979","27.2800006866455","14.875599861145","","9.18690013885498","3.30615377426147","2.69972229003906","2.15977783203125","","24","1978","4"
"25","1980","27.8299999237061","15.2332000732422","","9.40359973907471","3.32611465454102","2.72347736358643","2.17878189086914","","25","1979","4"
"26","1981","27.1690006256104","17.2528991699219","","8.89389991760254","3.30207657814026","2.847980260849","2.2783842086792","","26","1980","4"
"27","1982","24.503999710083","19.3141994476318","","8.39050006866455","3.19883632659912","2.96084046363831","2.36867237091065","","27","1981","4"
"28","1983","22.5620002746582","20.005500793457","","7.43510007858276","3.11626720428467","2.99600720405579","2.39680576324463","","28","1982","4"
"29","1976","86.677001953125","20.6322994232178","","22.3803997039795","4.46218872070312","3.02685785293579","2.42148628234863","","29","1983","5"
"30","1977","87.0999984741211","18.2782001495361","","22.270299911499","4.46705675125122","2.90570902824402","2.32456722259522","","30","1976","5"
"31","1978","87","18.1368999481201","","25.1669998168945","4.46590805053711","2.89794850349426","2.31835880279541","","31","1977","5"
"32","1979","90.4000015258789","18.1895999908447","","25.3514995574951","4.50424432754517","2.90085005760193","2.32068004608154","","32","1978","5"
"33","1980","89.1999969482422","19.2893009185791","","28.2394008636475","4.49088096618652","2.95955061912537","2.3676404953003","","33","1979","5"
"34","1981","82.6999969482422","19.8241996765137","","25.7959003448486","4.41521978378296","2.98690342903137","2.3895227432251","","34","1980","5"
"35","1982","73.6999969482422","19.387300491333","","20.3680992126465","4.30000257492065","2.96461820602417","2.37169456481933","","35","1981","5"
"36","1976","0.748000025749207","23.1888999938965","","0.169400006532669","-0.290352255105972","3.14367365837097","2.51493892669678","","36","1982","6"
"37","1977","0.765999972820282","20.5393009185791","","0.161799997091293","-0.266573131084442","3.0223400592804","2.41787204742432","","37","1976","6"
